sigma_v,sigma_phi,sigma_ab,nhc_sigma,p95_horiz_error
0.05,0.01,1e-06,0.5,15.737
0.05,0.01,1e-06,1.0,14.184
0.05,0.01,1e-05,1.0,14.184
0.05,0.01,1e-05,0.5,15.803
0.05,0.01,1e-05,2.0,15.009
0.05,0.01,1e-06,2.0,15.018
0.05,0.01,1e-06,5.0,9.292
0.05,0.01,1e-05,5.0,9.292
0.05,0.05,1e-06,0.5,7.332
0.05,0.05,1e-06,2.0,9.171
0.05,0.05,1e-06,5.0,8.554
0.05,0.05,1e-05,1.0,8.137
0.05,0.05,1e-06,1.0,8.167
0.05,0.05,1e-05,2.0,9.15
0.05,0.05,1e-05,0.5,7.332
0.05,0.05,1e-05,5.0,8.554
0.05,0.1,1e-06,0.5,7.588
0.05,0.1,1e-06,1.0,8.754
0.05,0.1,1e-06,5.0,11.32
0.05,0.1,1e-06,2.0,10.247
0.05,0.1,1e-05,0.5,7.588
0.05,0.1,1e-05,2.0,10.247
0.05,0.1,1e-05,1.0,8.754
0.05,0.1,1e-05,5.0,11.319
0.1,0.01,1e-06,1.0,11.609
0.1,0.01,1e-06,0.5,8.172
0.1,0.01,1e-05,1.0,11.609
0.1,0.01,1e-05,0.5,8.172
0.1,0.01,1e-06,2.0,11.726
0.1,0.01,1e-05,2.0,11.726
0.1,0.01,1e-05,5.0,8.426
0.1,0.01,1e-06,5.0,8.426
0.1,0.05,1e-06,0.5,7.262
0.1,0.05,1e-06,1.0,7.685
0.1,0.05,1e-06,2.0,8.472
0.1,0.05,1e-06,5.0,9.191
0.1,0.05,1e-05,5.0,9.166
0.1,0.05,1e-05,2.0,8.472
0.1,0.05,1e-05,0.5,7.262
0.1,0.05,1e-05,1.0,7.685
0.1,0.1,1e-06,0.5,7.905
0.1,0.1,1e-06,1.0,9.345
0.1,0.1,1e-06,2.0,9.23
0.1,0.1,1e-06,5.0,8.436
0.1,0.1,1e-05,2.0,9.23
0.1,0.1,1e-05,5.0,8.436
0.1,0.1,1e-05,0.5,7.905
0.1,0.1,1e-05,1.0,9.345
0.5,0.01,1e-06,0.5,5.993
0.5,0.01,1e-06,1.0,7.381
0.5,0.01,1e-06,2.0,8.282
0.5,0.01,1e-06,5.0,9.308
0.5,0.01,1e-05,0.5,5.993
0.5,0.01,1e-05,2.0,8.282
0.5,0.01,1e-05,1.0,7.381
0.5,0.01,1e-05,5.0,9.308
0.5,0.05,1e-06,0.5,7.187
0.5,0.05,1e-06,1.0,7.909
0.5,0.05,1e-06,2.0,8.494
0.5,0.05,1e-06,5.0,9.09
0.5,0.05,1e-05,0.5,7.187
0.5,0.05,1e-05,1.0,7.909
0.5,0.05,1e-05,2.0,8.494
0.5,0.05,1e-05,5.0,9.09
0.5,0.1,1e-06,0.5,7.655
0.5,0.1,1e-06,1.0,8.185
0.5,0.1,1e-06,2.0,8.65
0.5,0.1,1e-06,5.0,9.139
0.5,0.1,1e-05,0.5,7.655
0.5,0.1,1e-05,1.0,8.185
0.5,0.1,1e-05,2.0,8.65
0.5,0.1,1e-05,5.0,9.139
